Time,HR (bpm),windows
0:10:58,168,window220
0:10:59,168,window220
0:11:00,167,window221
0:11:01,167,window221
0:11:02,166,window221
0:11:03,165,window222
0:11:04,165,window222
0:11:05,164,window222
0:11:06,164,window223
0:11:07,164,window223
0:11:08,163,window223
0:11:09,162,window224
0:11:10,161,window224
0:11:11,161,window224
0:11:12,160,window225
0:11:13,160,window225
0:11:14,160,window225
0:11:15,160,window226
0:11:16,159,window226
0:11:17,159,window226
0:11:18,159,window227
0:11:19,157,window227
0:11:20,157,window227
0:11:21,157,window228
0:11:22,157,window228
0:11:23,157,window228
0:11:24,156,window229
0:11:25,155,window229
0:11:26,154,window229
0:11:27,153,window230
0:11:28,152,window230
0:11:29,150,window230
0:11:30,150,window231
0:11:31,149,window231
0:11:32,149,window231
0:11:33,149,window232
0:11:34,149,window232
0:11:35,148,window232
0:11:36,148,window233
0:11:37,147,window233
0:11:38,145,window233
0:11:39,145,window234
0:11:40,145,window234
0:11:41,145,window234
0:11:42,145,window235
0:11:43,145,window235
0:11:44,145,window235
0:11:45,144,window236
0:11:46,144,window236
0:11:47,143,window236
0:11:48,142,window237
0:11:49,142,window237
0:11:50,141,window237
0:11:51,141,window238
0:11:52,141,window238
0:11:53,140,window238
0:11:54,140,window239
0:11:55,141,window239
0:11:56,142,window239
0:11:57,141,window240
0:11:58,141,window240
0:11:59,142,window240
0:12:00,142,window241
0:12:01,143,window241
0:12:02,144,window241
0:12:03,144,window242
0:12:04,144,window242
0:12:05,144,window242
0:12:06,146,window243
0:12:07,147,window243
0:12:08,148,window243
0:12:09,148,window244
0:12:10,149,window244
0:12:11,149,window244
0:12:12,150,window245
0:12:13,150,window245
0:12:14,150,window245
0:12:15,151,window246
0:12:16,152,window246
0:12:17,152,window246
0:12:18,153,window247
0:12:19,153,window247
0:12:20,153,window247
0:12:21,153,window248
0:12:22,153,window248
0:12:23,154,window248
0:12:24,154,window249
0:12:25,155,window249
0:12:26,156,window249
0:12:27,157,window250
0:12:28,158,window250
0:12:29,160,window250
0:12:30,161,window251
0:12:31,162,window251
0:12:32,164,window251
0:12:33,164,window252
0:12:34,165,window252
0:12:35,166,window252
0:12:36,167,window253
0:12:37,167,window253
0:12:38,168,window253
0:12:39,169,window254
0:12:40,169,window254
0:12:41,170,window254
0:12:42,170,window255
0:12:43,171,window255
0:12:44,171,window255
0:12:45,171,window256
0:12:46,172,window256
0:12:47,172,window256
0:12:48,172,window257
0:12:49,172,window257
0:12:50,172,window257
0:12:51,173,window258
0:12:52,173,window258
0:12:53,173,window258
0:12:54,173,window259
0:12:55,173,window259
0:12:56,173,window259
0:12:57,174,window260
0:12:58,174,window260
0:12:59,174,window260
0:13:00,174,window261
0:13:01,174,window261
0:13:02,174,window261
0:13:03,174,window262
0:13:04,174,window262
0:13:05,174,window262
0:13:06,174,window263
0:13:07,174,window263
0:13:08,174,window263
0:13:09,174,window264
0:13:10,174,window264
0:13:11,174,window264
0:13:12,174,window265
0:13:13,174,window265
0:13:14,174,window265
0:13:15,174,window266
0:13:16,174,window266
0:13:17,174,window266
0:13:18,173,window267
0:13:19,173,window267
0:13:20,173,window267
0:13:21,172,window268
0:13:22,172,window268
0:13:23,171,window268
0:13:24,171,window269
0:13:25,170,window269
0:13:26,170,window269
0:13:27,169,window270
0:13:28,168,window270
0:13:29,167,window270
0:13:30,166,window271
0:13:31,166,window271
0:13:32,165,window271
0:13:33,165,window272
0:13:34,163,window272
0:13:35,163,window272
0:13:36,162,window273
0:13:37,161,window273
0:13:38,161,window273
0:13:39,160,window274
0:13:40,160,window274
0:13:41,160,window274
0:13:42,158,window275
0:13:43,158,window275
0:13:44,156,window275
0:13:45,156,window276
0:13:46,155,window276
0:13:47,155,window276
0:13:48,154,window277
0:13:49,153,window277
0:13:50,152,window277
0:13:51,152,window278
0:13:52,151,window278
0:13:53,151,window278
0:13:54,151,window279
0:13:55,151,window279
0:13:56,152,window279
0:13:57,152,window280
0:13:58,152,window280
0:13:59,151,window280
0:14:00,151,window281
0:14:01,150,window281
0:14:02,149,window281
0:14:03,148,window282
0:14:04,147,window282
0:14:05,146,window282
0:14:06,145,window283
0:14:07,144,window283
0:14:08,144,window283
0:14:09,143,window284
0:14:10,143,window284
0:14:11,143,window284
0:14:12,144,window285
0:14:13,143,window285
0:14:14,143,window285
0:14:15,142,window286
0:14:16,142,window286
0:14:17,141,window286
0:14:18,141,window287
0:14:19,141,window287
0:14:20,141,window287
0:14:21,141,window288
0:14:22,141,window288
0:14:23,140,window288
0:14:24,140,window289
0:14:25,139,window289
0:14:26,138,window289
0:14:27,139,window290
0:14:28,139,window290
0:14:29,139,window290
0:14:30,140,window291
0:14:31,141,window291
0:14:32,141,window291
0:14:33,140,window292
0:14:34,141,window292
0:14:35,141,window292
0:14:36,141,window293
0:14:37,142,window293
0:14:38,142,window293
0:14:39,142,window294
0:14:40,142,window294
0:14:41,143,window294
0:14:42,143,window295
0:14:43,144,window295
0:14:44,146,window295
0:14:45,146,window296
0:14:46,146,window296
0:14:47,148,window296
0:14:48,149,window297
0:14:49,150,window297
0:14:50,150,window297
0:14:51,151,window298
0:14:52,151,window298
0:14:53,152,window298
0:14:54,153,window299
0:14:55,154,window299
0:14:56,155,window299
0:14:57,156,window300
0:14:58,157,window300
0:14:59,159,window300
0:15:00,160,window301
0:15:01,162,window301
0:15:02,163,window301
0:15:03,164,window302
0:15:04,166,window302
0:15:05,167,window302
0:15:06,168,window303
0:15:07,168,window303
0:15:08,169,window303
0:15:09,170,window304
0:15:10,170,window304
0:15:11,171,window304
0:15:12,171,window305
0:15:13,171,window305
0:15:14,172,window305
0:15:15,172,window306
0:15:16,172,window306
0:15:17,173,window306
0:15:18,173,window307
0:15:19,173,window307
0:15:20,173,window307
0:15:21,174,window308
0:15:22,174,window308
0:15:23,175,window308
0:15:24,175,window309
0:15:25,175,window309
0:15:26,175,window309
0:15:27,175,window310
0:15:28,175,window310
0:15:29,175,window310
0:15:30,175,window311
0:15:31,175,window311
0:15:32,175,window311
0:15:33,175,window312
0:15:34,175,window312
0:15:35,175,window312
0:15:36,175,window313
0:15:37,174,window313
0:15:38,174,window313
0:15:39,174,window314
0:15:40,174,window314
0:15:41,174,window314
0:15:42,174,window315
0:15:43,174,window315
0:15:44,174,window315
0:15:45,174,window316
0:15:46,173,window316
0:15:47,173,window316
0:15:48,172,window317
0:15:49,172,window317
0:15:50,171,window317
0:15:51,171,window318
0:15:52,171,window318
0:15:53,170,window318
0:15:54,170,window319
0:15:55,169,window319
0:15:56,169,window319
0:15:57,168,window320
0:15:58,168,window320
0:15:59,167,window320
0:16:00,167,window321
0:16:01,166,window321
0:16:02,165,window321
0:16:03,164,window322
0:16:04,164,window322
0:16:05,161,window322
0:16:06,160,window323
0:16:07,160,window323
0:16:08,158,window323
0:16:09,158,window324
0:16:10,158,window324
0:16:11,158,window324
0:16:12,157,window325
0:16:13,156,window325
0:16:14,156,window325
0:16:15,155,window326
0:16:16,154,window326
0:16:17,153,window326
0:16:18,152,window327
0:16:19,152,window327
0:16:20,151,window327
0:16:21,151,window328
0:16:22,149,window328
0:16:23,148,window328
0:16:24,147,window329
0:16:25,147,window329
0:16:26,146,window329
0:16:27,146,window330
0:16:28,145,window330
0:16:29,144,window330
0:16:30,143,window331
0:16:31,143,window331
0:16:32,143,window331
0:16:33,143,window332
0:16:34,142,window332
0:16:35,142,window332
0:16:36,142,window333
0:16:37,141,window333
0:16:38,141,window333
0:16:39,143,window334
0:16:40,143,window334
0:16:41,144,window334
0:16:42,144,window335
0:16:43,144,window335
0:16:44,143,window335
0:16:45,143,window336
0:16:46,142,window336
0:16:47,141,window336
0:16:48,140,window337
0:16:49,140,window337
0:16:50,141,window337
0:16:51,141,window338
0:16:52,141,window338
0:16:53,141,window338
0:16:54,141,window339
0:16:55,141,window339
0:16:56,142,window339
0:16:57,142,window340
0:16:58,142,window340
0:16:59,142,window340
0:17:00,142,window341
0:17:01,142,window341
0:17:02,142,window341
0:17:03,143,window342
0:17:04,143,window342
0:17:05,143,window342
0:17:06,143,window343
0:17:07,143,window343
0:17:08,143,window343
0:17:09,144,window344
0:17:10,144,window344
0:17:11,145,window344
0:17:12,146,window345
0:17:13,147,window345
0:17:14,147,window345
0:17:15,148,window346
0:17:16,149,window346
0:17:17,149,window346
0:17:18,150,window347
0:17:19,151,window347
0:17:20,152,window347
0:17:21,153,window348
0:17:22,154,window348
0:17:23,156,window348
0:17:24,157,window349
0:17:25,158,window349
0:17:26,160,window349
0:17:27,161,window350
0:17:28,163,window350
0:17:29,164,window350
0:17:30,166,window351
0:17:31,167,window351
0:17:32,168,window351
0:17:33,169,window352
0:17:34,170,window352
0:17:35,171,window352
0:17:36,172,window353
0:17:37,172,window353
0:17:38,173,window353
0:17:39,173,window354
0:17:40,173,window354
0:17:41,174,window354
0:17:42,174,window355
0:17:43,174,window355
0:17:44,175,window355
0:17:45,175,window356
0:17:46,175,window356
0:17:47,176,window356
0:17:48,176,window357
0:17:49,176,window357
0:17:50,175,window357
0:17:51,175,window358
0:17:52,175,window358
0:17:53,175,window358
0:17:54,175,window359
0:17:55,175,window359
0:17:56,175,window359
0:17:57,175,window360
0:17:58,175,window360
0:17:59,176,window360
0:18:00,176,window361
0:18:01,176,window361
0:18:02,176,window361
0:18:03,177,window362
0:18:04,177,window362
0:18:05,177,window362
0:18:06,177,window363
0:18:07,177,window363
0:18:08,177,window363
0:18:09,177,window364
0:18:10,177,window364
0:18:11,176,window364
0:18:12,176,window365
0:18:13,176,window365
0:18:14,176,window365
0:18:15,175,window366
0:18:16,175,window366
0:18:17,174,window366
0:18:18,174,window367
0:18:19,173,window367
0:18:20,172,window367
0:18:21,172,window368
0:18:22,171,window368
0:18:23,171,window368
0:18:24,170,window369
0:18:25,169,window369
0:18:26,169,window369
0:18:27,168,window370
0:18:28,167,window370
0:18:29,167,window370
0:18:30,166,window371
0:18:31,165,window371
0:18:32,165,window371
0:18:33,164,window372
0:18:34,163,window372
0:18:35,163,window372
0:18:36,163,window373
0:18:37,162,window373
0:18:38,161,window373
0:18:39,161,window374
0:18:40,160,window374
0:18:41,159,window374
0:18:42,158,window375
0:18:43,158,window375
0:18:44,158,window375
0:18:45,158,window376
0:18:46,158,window376
0:18:47,158,window376
0:18:48,157,window377
0:18:49,156,window377
0:18:50,155,window377
0:18:51,154,window378
0:18:52,152,window378
0:18:53,151,window378
0:18:54,151,window379
0:18:55,151,window379
0:18:56,150,window379
0:18:57,150,window380
0:18:58,149,window380
0:18:59,149,window380
0:19:00,148,window381
0:19:01,148,window381
0:19:02,149,window381
0:19:03,149,window382
0:19:04,149,window382
0:19:05,148,window382
0:19:06,147,window383
0:19:07,146,window383
0:19:08,145,window383
0:19:09,144,window384
0:19:10,145,window384
0:19:11,144,window384
0:19:12,144,window385
0:19:13,144,window385
0:19:14,144,window385
0:19:15,144,window386
0:19:16,143,window386
0:19:17,143,window386
0:19:18,142,window387
0:19:19,141,window387
0:19:20,141,window387
0:19:21,140,window388
0:19:22,140,window388
0:19:23,140,window388
0:19:24,140,window389
0:19:25,140,window389
0:19:26,139,window389
0:19:27,137,window390
0:19:28,137,window390
0:19:29,137,window390
0:19:30,136,window391
0:19:31,137,window391
0:19:32,137,window391
0:19:33,138,window392
0:19:34,139,window392
0:19:35,140,window392
0:19:36,141,window393
0:19:37,142,window393
0:19:38,143,window393
0:19:39,143,window394
0:19:40,144,window394
0:19:41,144,window394
0:19:42,144,window395
0:19:43,145,window395
0:19:44,145,window395
0:19:45,146,window396
0:19:46,147,window396
0:19:47,148,window396
0:19:48,148,window397
0:19:49,149,window397
0:19:50,149,window397
0:19:51,149,window398
0:19:52,150,window398
0:19:53,150,window398
0:19:54,152,window399
0:19:55,153,window399
0:19:56,154,window399
0:19:57,156,window400
0:19:58,158,window400
0:19:59,158,window400
0:20:00,158,window401
0:20:01,158,window401
0:20:02,163,window401
0:20:03,163,window402
0:20:04,163,window402
0:20:05,167,window402
0:20:06,168,window403
0:20:07,169,window403
0:20:08,170,window403
0:20:09,171,window404
0:20:10,172,window404
0:20:11,173,window404
0:20:12,173,window405
0:20:13,174,window405
0:20:14,175,window405
0:20:15,175,window406
0:20:16,175,window406
0:20:17,175,window406
0:20:18,176,window407
0:20:19,176,window407
0:20:20,176,window407
0:20:21,176,window408
0:20:22,176,window408
0:20:23,176,window408
0:20:24,176,window409
0:20:25,176,window409
0:20:26,176,window409
0:20:27,176,window410
0:20:28,176,window410
0:20:29,176,window410
0:20:30,176,window411
0:20:31,176,window411
0:20:32,175,window411
0:20:33,175,window412
0:20:34,175,window412
0:20:35,175,window412
0:20:36,175,window413
0:20:37,175,window413
0:20:38,175,window413
0:20:39,174,window414
0:20:40,174,window414
0:20:41,175,window414
0:20:42,175,window415
0:20:43,174,window415
0:20:44,174,window415
0:20:45,174,window416
0:20:46,173,window416
0:20:47,173,window416
0:20:48,172,window417
0:20:49,172,window417
0:20:50,172,window417
0:20:51,171,window418
0:20:52,171,window418
0:20:53,170,window418
0:20:54,170,window419
0:20:55,170,window419
0:20:56,169,window419
0:20:57,169,window420
0:20:58,168,window420
0:20:59,167,window420
0:21:00,166,window421
0:21:01,166,window421
0:21:02,165,window421
0:21:03,164,window422
0:21:04,164,window422
0:21:05,163,window422
